,Star Temperature [K],Planet Temperature [K],Planet Radius [Rjup],Total Observation Time [days]
2185,6154.0,1847.259917,1.3734398,8.115375
2186,6024.0,2135.760513,1.245526965,7.38
2187,5219.0,1551.302328,0.849224974,7.9915
2188,5999.0,1421.283225,1.09812429,10.308375
2189,5188.0,1096.809452,0.972001211,29.053124999999998
2190,5739.56,1162.303648,1.218361031,27.862499999999997
2191,5221.0,596.847552,0.4794678,27.286875000000002
2192,5769.61,1330.702387,1.007928126,15.68
2193,5917.0,1407.637801,1.458384123,14.269500000000003
2194,6503.0,1594.059734,1.552226536,12.15425
2195,5798.0,1583.0278,1.044823546,4.1175
2196,5560.24,2446.316648,0.877184041,2.8175
2197,6448.0,1737.17392,1.213736744,20.485500000000002
2198,5589.0,1661.673584,0.536815657,9.197999999999999
2199,6364.0,1729.924935,2.137294469,0.7155
2200,5390.0,1769.710976,1.238229946,5.133000000000001
2201,5900.0,1655.433709,1.10714288,14.455
2202,5641.84,1538.950249,0.488489557,57.182125
2203,5483.0,1044.738164,0.264727718,14.622000000000002
2204,6280.0,1033.805974,0.712366359,12.449750000000002
2205,5132.0,723.9132586,0.240837841,4.861625
2206,4867.7,2182.251312,1.451740273,2.3505
2207,6898.0,3193.485724,2.116937955,0.218375
2208,5651.0,1628.509127,0.441111504,10.963125
2209,5708.0,1098.076224,0.523972873,6.348998437500001
2210,3521.0,532.6698992,0.170772621,8.452414325000001
2211,4821.0,1134.441594,0.214993452,6.9796186875
2212,6809.0,980.7194056,0.465255487,43.35475
2213,6142.0,1580.845273,1.445258699,1.52625
2214,5608.0,1512.736086,1.009860297,7.595000000000001
2215,8991.0,1200.588716,1.255519795,32.816875
2216,6115.71,1060.723053,0.353327384,43.06736099999999
2217,7456.0,2328.712784,1.638450687,1.994375
2218,5821.0,1539.336211,1.51855405,4.3706249999999995
2219,5313.0,1596.657778,0.440752207,11.399999999999999
2220,5015.0,2008.2526,0.904455542,5.9895000000000005
2221,5308.0,1827.121857,0.868758902,11.655
